"ch" "sex" "age"
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 5 1
"00000000100000" 5 4
"00000000100000" 4 4
"00000000100000" 5 4
"00000000100000" 5 4
"00000000100000" 4 4
"00000000100000" 4 4
"00000000100000" 5 4
"00000000100000" 4 4
"00000000100000" 4 4
"00000000100000" 5 4
"00000000100000" 4 1
"00000000100000" 4 1
"00000000100000" 4 1
"00000000100000" 5 1
"00000000100000" 5 2
"00000000100000" 5 1
"00000000100000" 5 1
"00000000101000" 4 1
"00000000100000" 5 1
"00000000100000" 5 2
"00000000100000" 5 2
"00000000100000" 5 1
"00000000100000" 5 2
"00000000100000" 5 2
"00000000100000" 5 1
"00000000100000" 4 1
"00000000100000" 5 1
"00000000100000" 5 2
"00000000100000" 5 1
"00000000100000" 5 2
"00000000100000" 5 2
"00000000100000" 4 2
"00000000100000" 4 2
"00000000100000" 5 2
"00000000100000" 4 2
"00000000100000" 5 2
"00000000100000" 5 2
"00000000100000" 5 2
"00000000100000" 5 2
"00000000100000" 5 2
"00000000100000" 5 2
"00000000100000" 5 2
"00000000100000" 5 2
"00000000100000" 5 1
"00000000100000" 5 1
"00000000100000" 5 1
"00000000100000" 4 1
"00000000100000" 4 1
"00000000100000" 5 1
"10000000000000" 5 1
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 4 1
"10000000000000" 4 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 5 1
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 5 1
"10000000000000" 5 1
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 4 1
"10000000000000" 4 2
"10000000000000" 5 2
"10000000000000" 4 2
"10000000000000" 5 2
"10000000000000" 4 2
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 5 1
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 4 1
"10000000000000" 5 1
"10000000000000" 4 1
"10000000000000" 4 1
