"band_id","age","sex","2005","2006","2007","2008","2009","2010","2011","NA","cap"
95857469,4,5,1,0,0,0,0,0,0,0,"1000000"
95857479,4,5,0,0,0,0,1,0,0,0,"0000100"
95857482,1,5,1,0,0,0,0,0,0,0,"1000000"
95857483,1,4,0,0,0,0,0,1,0,0,"0000010"
95857487,1,5,0,0,1,0,0,0,0,0,"0010000"
95857492,4,5,1,0,0,0,0,0,0,0,"1000000"
95857494,4,5,1,0,0,0,0,0,0,0,"1000000"
95857528,1,5,1,0,0,0,0,0,0,0,"1000000"
95857529,1,4,0,0,0,0,0,1,0,0,"0000010"
95857553,1,4,1,0,0,0,0,0,0,0,"1000000"
95857555,1,4,0,0,0,0,0,1,0,0,"0000010"
95857558,1,5,0,0,0,0,0,1,0,0,"0000010"
95857610,1,5,1,0,0,0,0,0,0,0,"1000000"
95857627,1,5,0,0,0,1,0,0,0,0,"0001000"
95857629,1,4,1,0,0,0,0,0,0,0,"1000000"
95857636,1,4,0,0,0,1,0,0,0,0,"0001000"
95857661,4,5,0,1,0,0,0,0,0,0,"0100000"
95857672,1,4,0,1,0,0,0,0,0,0,"0100000"
95857676,1,4,1,0,0,0,0,0,0,0,"1000000"
95857684,4,5,0,1,0,0,0,0,0,0,"0100000"
95857690,1,4,1,0,0,0,0,0,0,0,"1000000"
95857705,1,5,1,0,0,0,0,0,0,0,"1000000"
95857707,1,5,0,0,0,0,1,0,0,0,"0000100"
95857715,1,5,1,0,0,0,0,0,0,0,"1000000"
95857720,1,5,1,0,0,0,0,0,0,0,"1000000"
95857740,1,4,0,0,0,0,0,1,0,0,"0000010"
95857743,1,4,1,0,0,0,0,0,0,0,"1000000"
95857785,1,4,0,0,1,0,0,0,0,0,"0010000"
95857808,1,4,0,1,0,0,0,0,0,0,"0100000"
95857824,1,5,0,1,0,0,0,0,0,0,"0100000"
95857831,1,4,0,0,0,0,0,1,0,0,"0000010"
95857843,1,5,1,0,0,0,0,0,0,0,"1000000"
95857846,1,4,0,0,0,1,0,0,0,0,"0001000"
95857873,1,4,0,0,0,0,0,1,0,0,"0000010"
95857938,1,5,0,0,0,0,0,1,0,0,"0000010"
95857941,1,4,1,0,0,0,0,0,0,0,"1000000"
95857943,1,5,1,0,0,0,0,0,0,0,"1000000"
95857945,1,4,1,0,0,0,0,0,0,0,"1000000"
95857954,1,5,0,0,1,0,0,0,0,0,"0010000"
95857956,1,4,0,0,0,0,1,0,0,0,"0000100"
95857962,1,5,0,1,0,0,0,0,0,0,"0100000"
95857979,1,5,0,1,0,0,0,0,0,0,"0100000"
95857985,1,5,0,0,1,0,0,0,0,0,"0010000"
95858000,1,4,0,0,1,0,0,0,0,0,"0010000"
95858004,1,4,0,0,1,0,0,0,0,0,"0010000"
95858023,1,4,0,0,1,0,0,0,0,0,"0010000"
95858063,1,4,0,1,0,0,0,0,0,0,"0100000"
95858067,1,5,0,1,0,0,0,0,0,0,"0100000"
95858075,1,4,1,0,0,0,0,0,0,0,"1000000"
95858101,1,4,0,1,0,0,0,0,0,0,"0100000"
95858125,1,5,0,0,0,1,0,0,0,0,"0001000"
95858154,1,4,0,0,0,0,0,1,0,0,"0000010"
95858157,1,4,0,0,0,0,1,0,0,0,"0000100"
95858168,1,4,1,0,0,0,0,0,0,0,"1000000"
95858169,1,4,0,0,0,0,1,0,0,0,"0000100"
95858187,1,4,0,0,1,0,0,0,0,0,"0010000"
95858190,1,5,0,0,1,0,0,0,0,0,"0010000"
95858195,1,5,0,0,1,0,0,0,0,0,"0010000"
95858203,1,4,1,0,0,0,0,0,0,0,"1000000"
95858206,1,4,1,0,0,0,0,0,0,0,"1000000"
95858255,1,5,0,1,0,0,0,0,0,0,"0100000"
95858266,1,4,0,0,0,1,0,0,0,0,"0001000"
95858279,1,4,1,0,0,0,0,0,0,0,"1000000"
95858306,1,5,1,0,0,0,0,0,0,0,"1000000"
95858312,1,4,0,1,0,0,0,0,0,0,"0100000"
95858327,1,5,0,1,0,0,0,0,0,0,"0100000"
95858333,1,5,0,1,0,0,0,0,0,0,"0100000"
95858351,1,5,0,0,1,0,0,0,0,0,"0010000"
95858394,4,5,0,0,0,0,0,0,1,0,"0000001"
95858406,1,5,0,1,0,0,0,0,0,0,"0100000"
95858426,1,4,0,0,1,0,0,0,0,0,"0010000"
95858439,1,5,1,0,0,0,0,0,0,0,"1000000"
95858452,1,5,1,0,0,0,0,0,0,0,"1000000"
95858454,1,4,1,0,0,0,0,0,0,0,"1000000"
95858456,1,5,0,0,0,0,1,0,0,0,"0000100"
95858482,1,5,0,0,1,0,0,0,0,0,"0010000"
95858496,1,4,1,0,0,0,0,0,0,0,"1000000"
95858499,1,5,0,0,0,0,1,0,0,0,"0000100"
96897801,1,4,0,1,0,0,0,0,0,0,"0100000"
96897802,1,4,0,1,0,0,0,0,0,0,"0100000"
96897803,1,5,0,1,0,0,0,0,0,0,"0100000"
96897804,1,4,0,1,0,0,0,0,0,0,"0100000"
96897805,1,4,0,1,0,0,0,0,0,0,"0100000"
