"","band","sex","age","ch"
"784",98849429,5,1,"1000000"
"785",98849430,4,1,"1000000"
"786",98849431,4,1,"1000000"
"787",98849432,4,1,"1000000"
"788",98849433,5,1,"1100000"
"789",98849434,4,1,"1000000"
"790",98849435,5,1,"1000000"
"791",98849436,4,1,"1000000"
"792",98849437,5,1,"1000000"
"793",98849438,5,1,"1000000"
"794",98849439,5,4,"0000100"
"795",98849440,4,4,"0000100"
"796",98849441,5,4,"0000100"
"797",98849442,5,4,"0000100"
"798",98849443,4,4,"0000100"
"799",98849444,4,4,"0000100"
"800",98849445,5,4,"0000100"
"801",98849446,4,4,"0000100"
"802",98849447,4,4,"0000100"
"803",98849448,5,4,"0000100"
"804",98849449,5,1,"0000100"
"805",98849450,4,1,"0000100"
"806",98849451,4,1,"0000100"
"807",98849452,4,1,"0000100"
"808",98849453,4,1,"0000100"
"809",98849454,5,1,"0000100"
"810",98849455,5,2,"0000110"
"811",98849456,5,2,"0000100"
"812",98849457,5,1,"0000100"
"813",98849458,5,1,"0000100"
"814",98849459,4,1,"0000110"
"815",98849460,5,1,"0000100"
"816",98849461,5,2,"0000100"
"817",98849462,5,2,"0000100"
"818",98849463,5,1,"0000100"
