B_AGE_CODE,B_REGION,B_BAND_SIZE_CODE,B_BAND_STATUS_CODE,B_BAND_TYPE_CODE,B_BIRD_STATUS,B_COMMENTS,B_COORD_PRECISION,B_DIRECTION_CODE,B_EXTRA_INFO_CODE,B_FLYWAY_CODE,B_HOW_AGED_CODE,B_HOW_CAPTURED,B_HOW_SEXED_CODE,B_LAT_10_MIN_BLK,B_LAT_DECIMAL_DEGREES,B_LON_10_MIN_BLK,B_LON_DECIMAL_DEGREES,B_MARKER_LONG_DESC,B_PERMIT_NUM,B_REMARKS,B_SEX_CODE,B_SPECIES_ID,B_SPECIES_NAME,BAND_NUM,BANDING_DATE,BANDING_DAY,BANDING_MONTH,BANDING_YEAR,BEARING,DISTANCE,E_REGION,E_CAPTURE_TIME,E_CERTIFICATE_FLAG,E_CERTIFICATE_LANGUAGE,E_COMMENTS,E_COORD_PRECISION,E_COUNTRY_CODE,E_COUNTY_CODE,E_CREATE_DATE,E_CREATE_MONTH,E_CREATE_YEAR,E_DIRECTION_CODE,E_ENC_COUNTY_ORIGINAL,E_FLYWAY_CODE,E_HOW_CAPTURED,E_HOW_OBTAINED_CODE,E_LAT_10_MIN_BLK,E_LAT_DECIMAL_DEGREES,E_LOCATION_DESCRIPTION,E_LOCATION_ID,E_LON_10_MIN_BLK,E_LON_DECIMAL_DEGREES,E_MARKER_LONG_DESC,E_PLACE_NAME,E_PRESENT_CONDITION_CODE,E_REMARKS,E_SPECIES_NAME,E_STATE_CODE,E_WHO_OBTAINED_CODE,E_WHY_REPORTED_CODE,ENCOUNTER_DATE,ENCOUNTER_DAY,ENCOUNTER_MONTH,ENCOUNTER_YEAR,HSS,MIN_AGE_AT_ENC,ORIGINAL_BAND,OTHER_BANDS,SAME_10_MIN_BLOCK
"1","07","8","0","41","3","",0,"0","00","2","","","","345",34.84861,"0920",-92.11333,"","06569","","5","1720","Canada Goose","114824764",06/28/2012,"28","06","2012","NE",588.7,"49","","E","E","",11,"US","027",10/16/2014,"10","2014","0","027","2","","01","415",41.91171,"",,"0860",-86.01001,"","CASSOPOLIS","05","","CAGO","26","21","62",09/13/2014,"13","09","2014",3,3.25,"114824764","","N"
"1","07","8","0","41","3","",0,"0","00","2","","","","360",36.07194,"0903",-90.53,"","06569","","5","1720","Canada Goose","114824809",07/03/2012,"03","07","2012","E",13.2,"52","","E","E","",11,"US","069",01/30/2013,"01","2013","0","000","2","","01","360",36.07602,"",,"0901",-90.29288,"","CARDWELL","04","","CANADA GOOSE","29","21","61",01/19/2013,"19","01","2013",1,1.58,"114824809","","N"
"1","07","8","0","41","3","",0,"0","00","2","","","","360",36.07194,"0903",-90.53,"","06569","","5","1720","Canada Goose","114824854",07/03/2012,"03","07","2012","SE",71.3,"82","","E","E","",11,"US","157",01/04/2013,"01","2013","0","157","2","","01","350",35.14953,"",,"0895",-89.96067,"","MEMPHIS","05","","CANADA GOOSE","47","21","61",12/27/2012,"27","12","2012",1,1.5,"114824854","","N"
"4","07","8","0","41","3","",0,"0","00","2","","","","343",34.57083,"0941",-94.2425,"","06569","","5","1720","Canada Goose","114825214",06/26/2012,"26","06","2012","SW",45.5,"67","","E","E","lrm: D;;;",11,"US","089",07/30/2013,"07","2013","0","089","3","","27","340",34.00652,"gravel pit",,"0943",-94.65543,"","Eagletown","05","Broken bow, ok","Canada Goose","40","21","07",07/29/2013,"29","07","2013",1,1.08,"114825214","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","5","1720","Canada Goose","095857150",06/20/2001,"20","06","2001","N",1240.6,"45","","Y","E","HAD A WHITE PLASTIC NECK BAND AS WELL # XE50",10,"CA","",09/18/2007,"09","2007","0","","6","","01","521",52.25,"NORTH OF BIRCH RIVER",,"1012",-101.41667,"XE50: XE50","SWAN RIVER","05","","CANADA GOOSE","03","21","07",09/16/2007,"16","09","2007",7,7.25,"095857150","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","352",35.41667,"0932",-93.41667,"","06569","","5","1720","Canada Goose","095857863",06/25/2002,"25","06","2002","N",691,"50","","","","B#03287; C#4103",10,"US","000",10/14/2003,"10","2003","0","","2","","01","452",45.41667,"",,"0935",-93.91667,"","","03","","","27","21","06",10/11/2003,"11","10","2003",2,2.33,"095857863","","N"
"4","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","5","1720","Canada Goose","095857431",06/26/2002,"26","06","2002","N",667.5,"50","","","","B#04166; C#2404",10,"US","000",06/14/2004,"06","2004","0","","2","","29","445",44.91667,"",,"0930",-93.08333,"","","07","","","27","21","06",06/07/2004,"07","06","2004",2,2,"095857431","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","4","1720","Canada Goose","095857916",06/26/2002,"26","06","2002","NW",171.3,"38","","","","B#05306; C#4405",10,"US","000",11/02/2005,"11","2005","0","","3","","01","372",37.41667,"",,"0944",-94.75,"","","03","","","20","21","06",10/30/2005,"30","10","2005",4,4.33,"095857916","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","5","1720","Canada Goose","095856912",06/18/2001,"18","06","2001","NW",1117.4,"85","","","","B#03334; C#4803",10,"US","000",11/30/2003,"11","2003","0","","4","","01","414",41.75,"",,"1121",-112.25,"","","03","","","49","21","06",11/27/2003,"27","11","2003",3,3.42,"095856912","","N"
"1","07","8","0","01","3","",10,"0","02","2","","","","351",35.25,"0931",-93.25,"","06569","","4","1720","Canada Goose","095856886",06/18/2001,"18","06","2001","W",66.7,"67","","","","B#01333; C#1102",10,"US","000",11/29/2001,"11","2001","0","","3","","01","352",35.41667,"",,"0942",-94.41667,"","","03","","","40","21","06",11/10/2001,"10","11","2001",1,1.42,"095856886","","N"
