                                      new_cago_dadta

                          Real Function Parameters of {3agehunt}
                                                               95% Confidence Interval
  Parameter                  Estimate       Standard Error      Lower           Upper
 --------------------------  --------------  --------------  --------------  --------------
     1:S                     0.7973687       0.0132635       0.7701277       0.8221272                           
     2:S                     0.7663690       0.0084916       0.7493156       0.7825989                           
     3:S                     1.0000000       0.0000000       1.0000000       1.0000000                           
     4:S                     0.9999228       0.7716979E-004  0.9994522       0.9999891                           
     5:S                     0.8195472       0.0126274       0.7934634       0.8429887                           
     6:S                     1.0000000       0.0000000       1.0000000       1.0000000                           
     7:S                     0.9997789       0.2210900E-003  0.9984316       0.9999689                           
     8:S                     0.7783195       0.0081333       0.7619695       0.7938504                           
     9:p                     0.3358719E-141  0.0000000       0.3358719E-141  0.3358719E-141                      
    10:p                     0.8324767E-003  0.8688806E-003  0.1075242E-003  0.0064139                           
    11:p                     0.0010429       0.8149604E-003  0.2252766E-003  0.0048136                           
    12:p                     0.9859677E-304  0.0000000       0.9859677E-304  0.9859677E-304                      
    13:p                     0.0014882       0.0010232       0.3863803E-003  0.0057139                           
    14:p                     0.0016426       0.0011454       0.4183354E-003  0.0064267                           
    15:r                     0.9999489       0.0178152       0.2489938E-292  1.0000000                           
    16:F                     0.7880850       0.1980383       0.2668306       0.9743594                           
    17:F                     1.0000000       0.0000000       1.0000000       1.0000000                           
