"band_id","b_age_code","b_sex_code","banding_day","banding_month","banding_year","state","encounter_day","encounter_month","encounter_year","e_present_condition_code","l_d"
103887171,1,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887173,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887174,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887180,4,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887187,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887188,1,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887190,1,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887191,1,4,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887195,1,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
103887198,1,5,24,6,2008,"AR",NA,NA,NA,7,"alive"
107821074,1,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
107821075,1,4,24,6,2013,"AR",NA,NA,NA,7,"alive"
107821077,1,4,24,6,2013,"AR",NA,NA,NA,7,"alive"
107821079,1,4,24,6,2013,"AR",NA,NA,NA,7,"alive"
107821087,1,4,24,6,2013,"AR",NA,NA,NA,7,"alive"
107821088,4,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
107821096,4,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889502,1,4,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889504,4,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889509,1,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889511,1,4,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889512,4,4,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889513,1,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889516,4,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889518,1,4,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889524,4,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889528,1,4,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889531,4,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889534,1,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889535,4,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889536,4,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889537,4,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889538,1,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
103874792,4,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874720,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874724,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874725,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874726,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874731,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874734,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874735,4,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874737,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874739,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874747,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874757,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874760,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874761,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874768,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874770,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874774,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874784,4,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874785,4,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874786,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874789,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874790,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874801,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874803,4,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874805,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874809,4,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874810,4,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874818,4,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874825,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874827,1,5,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874832,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874833,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874835,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874836,4,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874839,4,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874841,1,4,26,6,2007,"AR",NA,NA,NA,7,"alive"
103874845,0,0,26,6,2007,"AR",NA,NA,NA,7,"alive"
100889338,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889343,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889345,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889350,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889351,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889357,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889358,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889359,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889363,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889366,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889370,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889374,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889376,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889379,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889384,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889387,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889391,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889393,1,4,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889394,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
100889396,1,5,24,6,2009,"AR",NA,NA,NA,7,"alive"
114889548,4,4,24,6,2013,"AR",NA,NA,NA,7,"alive"
114889549,4,5,24,6,2013,"AR",NA,NA,NA,7,"alive"
114825054,4,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825058,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825060,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825066,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825069,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825070,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825072,4,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825073,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825075,4,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825078,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825081,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825084,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825085,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825088,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825091,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825093,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825096,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825104,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825109,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825113,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825116,1,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825120,1,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825122,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825123,4,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825131,4,5,26,6,2013,"AR",NA,NA,NA,7,"alive"
114825133,4,4,26,6,2013,"AR",NA,NA,NA,7,"alive"
